landscape,ignitionPoint,ignitionIndex,burnedOutCells
4,62,38926,1
4,63,29902,242
4,64,37109,19
4,65,1135,3293
4,66,21277,5
4,67,32901,62
4,68,20036,1
4,69,15109,1
4,70,29927,3
4,71,13944,6
4,72,15147,14
4,73,35875,4
4,74,1559,2285
4,75,25902,6
4,76,1875,7
4,77,7291,1
4,78,32898,56
4,79,30823,1
4,80,14245,1
4,81,37283,1
4,82,34911,2
4,83,33824,3
4,84,10576,701
4,85,21174,13
4,86,27798,1
4,87,18054,0
4,88,8682,1
4,89,28167,1
4,90,26801,273
4,91,6965,26
4,92,8494,9
4,93,24643,2
4,94,28463,27
4,95,29483,12
4,96,38884,1
4,97,5090,1
4,98,15223,1
4,99,16782,1
8,0,2364,1
8,1,36956,1981
8,2,14930,1
8,3,31021,1
8,4,20372,0
8,5,39158,1753
8,6,21331,1
8,7,29931,1
8,8,17853,1
8,9,4000,1
8,10,35954,1
8,11,2690,1
8,12,31982,1
8,13,34857,5366
8,14,6828,1
8,15,18908,1
8,16,30502,68
8,17,9429,1
8,18,8083,1
8,19,18975,1
8,20,25358,1
8,21,10201,1
8,22,39168,1
8,23,6460,1
8,24,5179,1
8,25,4147,86
8,26,26915,1
8,27,14165,1
8,28,27599,1
8,29,4259,1
8,30,11067,1
8,31,26121,1
8,32,31551,1
8,33,10633,15
8,34,24288,16
8,35,26013,1
8,36,14639,1
8,37,2396,1
8,38,17278,1
8,39,4232,1
8,40,35897,1
8,41,13956,1
8,42,24988,1
8,43,31323,1
8,44,5324,493
8,45,22550,1
8,46,12890,1
8,47,38347,1
8,48,31217,1
8,49,6186,1
8,50,26618,1
8,51,6172,1
8,52,489,1
8,53,3161,1
8,54,37140,1754
8,55,12396,1
8,56,20659,1
8,57,16728,1
8,58,38381,1
8,59,2842,1
8,60,9386,1
8,61,7340,1
8,62,27747,1
8,63,10897,1
8,64,33162,1
8,65,12105,1
8,66,39103,1
8,67,436,1
8,68,5715,1
8,69,12747,1
8,70,27117,1
8,71,19816,1
8,72,5190,1
8,73,13200,1
8,74,12743,1
8,75,2872,1
8,76,21452,1
8,77,15920,1
8,78,15309,1
8,79,16425,1
8,80,7222,1
8,81,794,1
8,82,18353,1
8,83,5980,1
8,84,33247,5003
